Term,Count,Major
Fall 2014,0,DAT
Spring 2015,0,DAT
Fall 2015,0,DAT
Spring 2016,0,DAT
Fall 2016,0,DAT
Spring 2017,0,DAT
Fall 2017,0,DAT
Spring 2018,0,DAT
Fall 2018,0,DAT
Spring 2019,0,DAT
Fall 2019,0,DAT
Spring 2020,0,DAT
Fall 2020 ,15,DAT
Spring 2021,15,DAT
Fall 2021,23,DAT
Spring 2022,22,DAT
Fall 2022,21,DAT
Spring 2023,21,DAT
Fall 2023,19,DAT
Spring 2024,18,DAT
Fall 2024,19,DAT
Spring 2025,19,DAT
Fall 2014,177,Doctoral
Spring 2015,78,Doctoral
Fall 2015,175,Doctoral
Spring 2016,74,Doctoral
Fall 2016,163,Doctoral
Spring 2017,82,Doctoral
Fall 2017,163,Doctoral
Spring 2018,96,Doctoral
Fall 2018,148,Doctoral
Spring 2019,81,Doctoral
Fall 2019,123,Doctoral
Spring 2020,81,Doctoral
Fall 2020 ,138,Doctoral
Spring 2021,78,Doctoral
Fall 2021,137,Doctoral
Spring 2022,79,Doctoral
Fall 2022,145,Doctoral
Spring 2023,78,Doctoral
Fall 2023,129,Doctoral
Spring 2024,85,Doctoral
Fall 2024,139,Doctoral
Spring 2025,81,Doctoral
Fall 2014,84,Masters
Spring 2015,146,Masters
Fall 2015,81,Masters
Spring 2016,163,Masters
Fall 2016,77,Masters
Spring 2017,164,Masters
Fall 2017,100,Masters
Spring 2018,154,Masters
Fall 2018,94,Masters
Spring 2019,125,Masters
Fall 2019,87,Masters
Spring 2020,124,Masters
Fall 2020 ,80,Masters
Spring 2021,136,Masters
Fall 2021,85,Masters
Spring 2022,141,Masters
Fall 2022,83,Masters
Spring 2023,127,Masters
Fall 2023,85,Masters
Spring 2024,129,Masters
Fall 2024,83,Masters
Spring 2025,138,Masters
Spring 2013,633,APK-Res
Spring 2014,622,APK-Res
Spring 2015,665,APK-Res
Spring 2016,753,APK-Res
Spring 2017,860,APK-Res
Spring 2018,877,APK-Res
Spring 2019,898,APK-Res
Spring 2020,881,APK-Res
Spring 2021,821,APK-Res
Spring 2022,834,APK-Res
Spring 2023,893,APK-Res
Spring 2024,930,APK-Res
Spring 2025,899,APK-Res
Spring 2013,38,AT-Res
Spring 2014,49,AT-Res
Spring 2015,50,AT-Res
Spring 2016,44,AT-Res
Spring 2017,37,AT-Res
Spring 2018,38,AT-Res
Spring 2019,26,AT-Res
Spring 2020,17,AT-Res
Spring 2021,9,AT-Res
Spring 2022,0,AT-Res
Spring 2023,0,AT-Res
Spring 2024,0,AT-Res
Spring 2025,0,AT-Res
Spring 2013,290,HEB-Res
Spring 2014,351,HEB-Res
Spring 2015,326,HEB-Res
Spring 2016,348,HEB-Res
Spring 2017,421,HEB-Res
Spring 2018,511,HEB-Res
Spring 2019,529,HEB-Res
Spring 2020,450,HEB-Res
Spring 2021,413,HEB-Res
Spring 2022,385,HEB-Res
Spring 2023,336,HEB-Res
Spring 2024,367,HEB-Res
Spring 2025,363,HEB-Res
Spring 2013,0,REC-Res
Spring 2014,0,REC-Res
Spring 2015,73,REC-Res
Spring 2016,67,REC-Res
Spring 2017,14,REC-Res
Spring 2018,1,REC-Res
Spring 2019,1,REC-Res
Spring 2020,0,REC-Res
Spring 2021,26,REC-Res
Spring 2022,0,REC-Res
Spring 2023,0,REC-Res
Spring 2024,0,REC-Res
Spring 2025,0,REC-Res
Spring 2013,312,SPM-Res
Spring 2014,291,SPM-Res
Spring 2015,266,SPM-Res
Spring 2016,285,SPM-Res
Spring 2017,272,SPM-Res
Spring 2018,281,SPM-Res
Spring 2019,319,SPM-Res
Spring 2020,342,SPM-Res
Spring 2021,347,SPM-Res
Spring 2022,348,SPM-Res
Spring 2023,385,SPM-Res
Spring 2024,400,SPM-Res
Spring 2025,454,SPM-Res
Spring 2013,317,TRM-Res
Spring 2014,280,TRM-Res
Spring 2015,222,TRM-Res
Spring 2016,213,TRM-Res
Spring 2017,164,TRM-Res
Spring 2018,178,TRM-Res
Spring 2019,167,TRM-Res
Spring 2020,157,TRM-Res
Spring 2021,135,TRM-Res
Spring 2022,150,TRM-Res
Spring 2023,132,TRM-Res
Spring 2024,138,TRM-Res
Spring 2025,144,TRM-Res
